Facility ID,PSI 90 Composite Value,CLABSI SIR,CAUTI SIR,SSI SIR,CDI SIR,MRSA SIR,Total HAC Score,Payment Reduction
30069,0.7872,0,0,,0.27,2.095,-0.4643,No
30071,0.9721,,,,0.918,,0.989,Yes
30073,0.9245,,,,0.616,,0.2381,No
30074,,,,,,,2.1717,Yes
30078,1.184,,0,3.333,0.183,,0.3662,No
30083,0.8843,0.958,0.388,0,0.398,0,-0.5216,No
30084,1.1616,,,,0,,-0.1268,No
30085,0.761,0.201,0.176,0.722,0.412,0,-0.8103,No
30087,1.0729,0.606,0.357,1.643,0.36,0.93,0.3178,No
30088,0.8602,0.369,0.476,0.992,0.811,0.994,0.154,No
30089,1.2276,0.419,0.334,0.749,0.508,0.478,0.0991,No
30092,1.2594,0.75,0.401,0.819,0.312,0.659,0.2475,No
30093,0.7453,0.475,0.24,0.982,0.531,1.147,-0.1281,No
30094,1.0904,0.151,0.06,0.082,0.253,0.194,-0.7282,No
30101,0.8342,0,0.198,0,0.291,0.772,-0.8268,No
30103,0.9174,0.748,0.485,0.937,0.511,0.452,-0.0274,No
30105,0.9827,0.76,0.794,,0.585,1.659,0.7449,Yes
30107,0.8723,,,,,,-0.811,No
30108,0.8875,,,,0,,-1.0835,No
30110,0.8598,0.301,0.781,0.666,0.571,0.666,-0.1125,No
30111,1.033,0.947,0.371,0.286,0.489,1.636,0.3505,No
30112,0.9822,,,,,,-0.0434,No
30113,,,,,0,,-1.4622,No
30114,0.8165,0,1.694,0.487,0.627,,0.0245,No
30115,1.2336,0.76,0.274,0.869,0.552,0.528,0.2939,No
30117,0.9911,,,,0.476,,0.1998,No
30119,1.0598,0.929,0.433,0.957,0.386,0.476,0.1207,No
30121,0.7999,0.494,0.313,0.416,0.084,1.199,-0.4955,No
30122,0.9783,0.854,1.311,0.758,0.35,0.29,0.2048,No
30123,0.8742,0.384,0.808,1.807,0.517,0.626,0.2242,No
30130,0.9352,1.689,0.736,1.328,0.105,0,0.1049,No
30134,,,,,0,,-1.4622,No
30136,,,,,,,,No
30138,0.9519,,,0.315,0.241,,-0.567,No
30139,0.9804,0.997,0,,1.246,,0.4311,Yes
